1) UDELCC17100012 - Admission Number does not exist. In excel file row number : 1069
100) 20-07-18 - Cheque amount is not valid. In excel file row number : 2849
101) 12-07-18 - Cheque amount is not valid. In excel file row number : 2853
102) 26-07-18 - Cheque amount is not valid. In excel file row number : 2854
103) 26-07-18 - Cheque amount is not valid. In excel file row number : 2855
104) 29-06-18 - Cheque amount is not valid. In excel file row number : 2856
105) 23-07-18 - Cheque amount is not valid. In excel file row number : 2858
106) 31-07-18 - Cheque amount is not valid. In excel file row number : 2859
107) 31-07-18 - Cheque amount is not valid. In excel file row number : 2860
108) 04-08-18 - Cheque amount is not valid. In excel file row number : 2861
109) 14-08-18 - Cheque amount is not valid. In excel file row number : 2864
110) 14-08-18 - Cheque amount is not valid. In excel file row number : 2865
111) 14-08-18 - Cheque amount is not valid. In excel file row number : 2866
112) 14-08-18 - Cheque amount is not valid. In excel file row number : 2868
113) 07-09-18 - Cheque amount is not valid. In excel file row number : 2869
114) 07-09-18 - Cheque amount is not valid. In excel file row number : 2870
115) 20-08-18 - Cheque amount is not valid. In excel file row number : 2871
116) 03-09-18 - Cheque amount is not valid. In excel file row number : 2872
117) 12-08-18 - Cheque amount is not valid. In excel file row number : 2873
118) 06-09-18 - Cheque amount is not valid. In excel file row number : 2874
119) 12-09-18 - Cheque amount is not valid. In excel file row number : 2875
120) 06-06-18 - Cheque amount is not valid. In excel file row number : 2876
121) 20-06-18 - Cheque amount is not valid. In excel file row number : 2877
122) 02-08-18 - Cheque amount is not valid. In excel file row number : 2878
123) 12-09-18 - Cheque amount is not valid. In excel file row number : 2879
124) 17-09-18 - Cheque amount is not valid. In excel file row number : 2880
125) 20-08-18 - Cheque amount is not valid. In excel file row number : 2881
126) 18-09-18 - Cheque amount is not valid. In excel file row number : 2882
127) 12-09-18 - Cheque amount is not valid. In excel file row number : 2883
128) 18-09-18 - Cheque amount is not valid. In excel file row number : 2884
129) 06-09-18 - Cheque amount is not valid. In excel file row number : 2885
130) 03-08-18 - Cheque amount is not valid. In excel file row number : 2886
131) 27-09-18 - Cheque amount is not valid. In excel file row number : 2888
132) 16-08-18 - Cheque amount is not valid. In excel file row number : 2890
133) 18-09-18 - Cheque amount is not valid. In excel file row number : 2891
134) 24-09-18 - Cheque amount is not valid. In excel file row number : 2892
135) 29-09-18 - Cheque amount is not valid. In excel file row number : 2896
136) 18-02-19 - Cheque amount is not valid. In excel file row number : 2897
137) 24-03-19 - Cheque amount is not valid. In excel file row number : 2898
138) 25-03-19 - Cheque amount is not valid. In excel file row number : 2899
139) 18-03-19 - Cheque amount is not valid. In excel file row number : 2900
140) 27-03-19 - Cheque amount is not valid. In excel file row number : 2901
141) 12-08-18 - Cheque amount is not valid. In excel file row number : 2903
142) 12-08-18 - Cheque amount is not valid. In excel file row number : 2904
143) 19-07-18 - Cheque amount is not valid. In excel file row number : 2905
144) 20-07-18 - Cheque amount is not valid. In excel file row number : 2906
145) 27-07-18 - Cheque amount is not valid. In excel file row number : 2907
146) 11-05-18 - Cheque amount is not valid. In excel file row number : 2911
147) 14-05-18 - Cheque amount is not valid. In excel file row number : 2912
148) 11-05-18 - Cheque amount is not valid. In excel file row number : 2913
149) 25-05-18 - Cheque amount is not valid. In excel file row number : 2914
150) 29-05-18 - Cheque amount is not valid. In excel file row number : 2916
151) 22-05-18 - Cheque amount is not valid. In excel file row number : 2917
152) 07-05-18 - Cheque amount is not valid. In excel file row number : 2918
153) 07-05-18 - Cheque amount is not valid. In excel file row number : 2919
154) 09-05-18 - Cheque amount is not valid. In excel file row number : 2920
155) 09-05-18 - Cheque amount is not valid. In excel file row number : 2921
156) 27-03-18 - Cheque amount is not valid. In excel file row number : 2922
157) 12-06-18 - Cheque amount is not valid. In excel file row number : 2924
158) 12-06-18 - Cheque amount is not valid. In excel file row number : 2925
159) 07-06-18 - Cheque amount is not valid. In excel file row number : 2926
160) 19-06-18 - Cheque amount is not valid. In excel file row number : 2927
161) 18-05-18 - Cheque amount is not valid. In excel file row number : 2928
162) 08-06-18 - Cheque amount is not valid. In excel file row number : 2929
163) 04-06-18 - Cheque amount is not valid. In excel file row number : 2930
164) 25-06-18 - Cheque amount is not valid. In excel file row number : 2931
165) 12-07-18 - Cheque amount is not valid. In excel file row number : 2932
166) 04-07-18 - Cheque amount is not valid. In excel file row number : 2933
167) 31-05-18 - Cheque amount is not valid. In excel file row number : 2934
168) 05-07-18 - Cheque amount is not valid. In excel file row number : 2937
169) 10-07-18 - Cheque amount is not valid. In excel file row number : 2938
170) 11-10-18 - Cheque amount is not valid. In excel file row number : 2939
171) 12-10-18 - Cheque amount is not valid. In excel file row number : 2940
172) 09-10-18 - Cheque amount is not valid. In excel file row number : 2941
173) 10-10-18 - Cheque amount is not valid. In excel file row number : 2942
174) 24-08-18 - Cheque amount is not valid. In excel file row number : 2943
175) 06-09-18 - Cheque amount is not valid. In excel file row number : 2945
176) 27-09-18 - Cheque amount is not valid. In excel file row number : 2946
177) 08-10-18 - Cheque amount is not valid. In excel file row number : 2947
178) 15-09-18 - Cheque amount is not valid. In excel file row number : 2948
179) 30-08-18 - Cheque amount is not valid. In excel file row number : 2949
180) 25-10-18 - Cheque amount is not valid. In excel file row number : 2950
181) 31-05-18 - Cheque amount is not valid. In excel file row number : 2951
182) 22-10-18 - Cheque amount is not valid. In excel file row number : 2952
183) 23-10-18 - Cheque amount is not valid. In excel file row number : 2953
184) 26-10-18 - Cheque amount is not valid. In excel file row number : 2954
185) 26-10-18 - Cheque amount is not valid. In excel file row number : 2955
186) 01-10-18 - Cheque amount is not valid. In excel file row number : 2956
187) 01-10-18 - Cheque amount is not valid. In excel file row number : 2957
188) 30-09-18 - Cheque amount is not valid. In excel file row number : 2959
189) 31-10-18 - Cheque amount is not valid. In excel file row number : 2962
190) 10-11-18 - Cheque amount is not valid. In excel file row number : 2964
191) 18-10-18 - Cheque amount is not valid. In excel file row number : 2965
192) 03-11-18 - Cheque amount is not valid. In excel file row number : 2969
193) 20-10-18 - Cheque amount is not valid. In excel file row number : 2970
194) 12-10-18 - Cheque amount is not valid. In excel file row number : 2971
195) 25-09-18 - Cheque amount is not valid. In excel file row number : 2973
196) 13-10-18 - Cheque amount is not valid. In excel file row number : 2974
197) 25-10-18 - Cheque amount is not valid. In excel file row number : 2975
198) 30-10-18 - Cheque amount is not valid. In excel file row number : 2976
199) 31-10-18 - Cheque amount is not valid. In excel file row number : 2982
200) 30-10-18 - Cheque amount is not valid. In excel file row number : 2983
201) 02-11-18 - Cheque amount is not valid. In excel file row number : 2987
202) 02-11-18 - Cheque amount is not valid. In excel file row number : 2988
203) 31-10-18 - Cheque amount is not valid. In excel file row number : 2989
204) 24-10-18 - Cheque amount is not valid. In excel file row number : 2990
205) 11-02-19 - Cheque amount is not valid. In excel file row number : 2993
206) 06-02-19 - Cheque amount is not valid. In excel file row number : 2994
207) 19-02-19 - Cheque amount is not valid. In excel file row number : 2995
208) 11-02-19 - Cheque amount is not valid. In excel file row number : 2996
209) 15-02-19 - Cheque amount is not valid. In excel file row number : 2997
210) 14-02-19 - Cheque amount is not valid. In excel file row number : 2998
211) 13-02-19 - Cheque amount is not valid. In excel file row number : 2999
212) 19-01-19 - Cheque amount is not valid. In excel file row number : 3000
213) 31-01-19 - Cheque amount is not valid. In excel file row number : 3001
214) 15-02-19 - Cheque amount is not valid. In excel file row number : 3002
215) 18-02-19 - Cheque amount is not valid. In excel file row number : 3003
216) 27-02-19 - Cheque amount is not valid. In excel file row number : 3004
217) 18-02-19 - Cheque amount is not valid. In excel file row number : 3005
218) 20-02-19 - Cheque amount is not valid. In excel file row number : 3006
219) 14-02-19 - Cheque amount is not valid. In excel file row number : 3007
220) 14-02-19 - Cheque amount is not valid. In excel file row number : 3008
221) 02-03-19 - Cheque amount is not valid. In excel file row number : 3009
222) 11-03-19 - Cheque amount is not valid. In excel file row number : 3011
223) 11-03-19 - Cheque amount is not valid. In excel file row number : 3012
224) 26-02-19 - Cheque amount is not valid. In excel file row number : 3013
225) 18-03-19 - Cheque amount is not valid. In excel file row number : 3015
226) 11-03-19 - Cheque amount is not valid. In excel file row number : 3016
227) 05-07-18 - Cheque amount is not valid. In excel file row number : 3017
228) 19-07-18 - Cheque amount is not valid. In excel file row number : 3020
229) 15-05-18 - Cheque amount is not valid. In excel file row number : 3021
230) 15-05-18 - Cheque amount is not valid. In excel file row number : 3022
231) 07-04-18 - Cheque amount is not valid. In excel file row number : 3023
232) 07-04-18 - Cheque amount is not valid. In excel file row number : 3024
233) 29-05-18 - Cheque amount is not valid. In excel file row number : 3026
234) 29-05-18 - Cheque amount is not valid. In excel file row number : 3027
235) 29-05-18 - Cheque amount is not valid. In excel file row number : 3028
236) 29-05-18 - Cheque amount is not valid. In excel file row number : 3029
237) 30-05-18 - Cheque amount is not valid. In excel file row number : 3030
238) 30-05-18 - Cheque amount is not valid. In excel file row number : 3031
239) 01-06-18 - Cheque amount is not valid. In excel file row number : 3032
240) 05-06-18 - Cheque amount is not valid. In excel file row number : 3033
241) 11-06-18 - Cheque amount is not valid. In excel file row number : 3034
242) 15-06-18 - Cheque amount is not valid. In excel file row number : 3038
243) 28-05-18 - Cheque amount is not valid. In excel file row number : 3039
244) 28-06-18 - Cheque amount is not valid. In excel file row number : 3043
245) 16-06-18 - Cheque amount is not valid. In excel file row number : 3044
246) 02-07-18 - Cheque amount is not valid. In excel file row number : 3045
247) 02-07-18 - Cheque amount is not valid. In excel file row number : 3046
248) 02-07-18 - Cheque amount is not valid. In excel file row number : 3047
249) 20-06-18 - Cheque amount is not valid. In excel file row number : 3048
250) 25-06-18 - Cheque amount is not valid. In excel file row number : 3049
251) 10-07-18 - Cheque amount is not valid. In excel file row number : 3050
252) 12-02-19 - Cheque amount is not valid. In excel file row number : 3053
253) 10-12-18 - Cheque amount is not valid. In excel file row number : 3055
254) 15-02-19 - Cheque amount is not valid. In excel file row number : 3059
255) 01-02-19 - Cheque amount is not valid. In excel file row number : 3060
256) 07-01-19 - Cheque amount is not valid. In excel file row number : 3061
257) 23-02-19 - Cheque amount is not valid. In excel file row number : 3062
258) 22-02-19 - Cheque amount is not valid. In excel file row number : 3063
259) 18-02-19 - Cheque amount is not valid. In excel file row number : 3064
260) 19-01-19 - Cheque amount is not valid. In excel file row number : 3065
261) 28-12-18 - Cheque amount is not valid. In excel file row number : 3066
262) 25-02-19 - Cheque amount is not valid. In excel file row number : 3067
263) 02-02-19 - Cheque amount is not valid. In excel file row number : 3070
264) 28-02-19 - Cheque amount is not valid. In excel file row number : 3071
265) 28-02-19 - Cheque amount is not valid. In excel file row number : 3072
266) 14-02-19 - Cheque amount is not valid. In excel file row number : 3073
267) 02-11-18 - Cheque amount is not valid. In excel file row number : 3074
268) 18-10-18 - Cheque amount is not valid. In excel file row number : 3075
269) 17-09-18 - Cheque amount is not valid. In excel file row number : 3076
270) 05-11-18 - Cheque amount is not valid. In excel file row number : 3078
271) 18-12-18 - Cheque amount is not valid. In excel file row number : 3079
272) 09-01-19 - Cheque amount is not valid. In excel file row number : 3080
273) 10-12-18 - Cheque amount is not valid. In excel file row number : 3081
274) 03-01-19 - Cheque amount is not valid. In excel file row number : 3082
275) 10-01-19 - Cheque amount is not valid. In excel file row number : 3083
276) 16-01-19 - Cheque amount is not valid. In excel file row number : 3084
277) 19-01-19 - Cheque amount is not valid. In excel file row number : 3085
278) 19-01-19 - Cheque amount is not valid. In excel file row number : 3086
279) 19-01-19 - Cheque amount is not valid. In excel file row number : 3087
280) 19-01-19 - Cheque amount is not valid. In excel file row number : 3088
281) 28-01-19 - Cheque amount is not valid. In excel file row number : 3089
282) 18-01-19 - Cheque amount is not valid. In excel file row number : 3091
283) 04-02-19 - Cheque amount is not valid. In excel file row number : 3093
284) 04-02-19 - Cheque amount is not valid. In excel file row number : 3094
285) 13-02-19 - Cheque amount is not valid. In excel file row number : 3095
286) 13-02-19 - Cheque amount is not valid. In excel file row number : 3096
287) 04-02-19 - Cheque amount is not valid. In excel file row number : 3097
288) 04-02-19 - Cheque amount is not valid. In excel file row number : 3098
289) 17-01-19 - Cheque amount is not valid. In excel file row number : 3099
290) 12-02-19 - Cheque amount is not valid. In excel file row number : 3100
291) 29-01-19 - Cheque amount is not valid. In excel file row number : 3101
292) 29-01-19 - Cheque amount is not valid. In excel file row number : 3102
293) 13-03-19 - Cheque amount is not valid. In excel file row number : 3103
294) 20-03-19 - Cheque amount is not valid. In excel file row number : 3104
295) 20-03-19 - Cheque amount is not valid. In excel file row number : 3106
296) 25-03-19 - Cheque amount is not valid. In excel file row number : 3107
297) 14-02-19 - Cheque amount is not valid. In excel file row number : 3108
298) 25-03-19 - Cheque amount is not valid. In excel file row number : 3109
299) 19-03-19 - Cheque amount is not valid. In excel file row number : 3110
300) 14-03-19 - Cheque amount is not valid. In excel file row number : 3111
301) 22-03-19 - Cheque amount is not valid. In excel file row number : 3112
302) 12-03-19 - Cheque amount is not valid. In excel file row number : 3113
303) 26-02-19 - Cheque amount is not valid. In excel file row number : 3114
304) 26-02-19 - Cheque amount is not valid. In excel file row number : 3115
305) 11-03-19 - Cheque amount is not valid. In excel file row number : 3116
306) 27-03-19 - Cheque amount is not valid. In excel file row number : 3117
307) 14-03-19 - Cheque amount is not valid. In excel file row number : 3118
308) 14-03-19 - Cheque amount is not valid. In excel file row number : 3119
309) 29-03-19 - Cheque amount is not valid. In excel file row number : 3120
310) 29-03-19 - Cheque amount is not valid. In excel file row number : 3121
311) 26-03-19 - Cheque amount is not valid. In excel file row number : 3122
312) 18-03-19 - Cheque amount is not valid. In excel file row number : 3123
313) 29-03-19 - Cheque amount is not valid. In excel file row number : 3124
314) 15-03-19 - Cheque amount is not valid. In excel file row number : 3126
315) 14-03-19 - Cheque amount is not valid. In excel file row number : 3127
316) 30-03-19 - Cheque amount is not valid. In excel file row number : 3128
317) 10-07-18 - Cheque amount is not valid. In excel file row number : 3129
318) 06-07-18 - Cheque amount is not valid. In excel file row number : 3130
319) 08-06-18 - Cheque amount is not valid. In excel file row number : 3134
320) 21-05-18 - Cheque amount is not valid. In excel file row number : 3135
321) 21-05-18 - Cheque amount is not valid. In excel file row number : 3136
322) 24-05-18 - Cheque amount is not valid. In excel file row number : 3137
